SampleID,Problem,Solution
939,Solve for x: (5)*x + (-18) = (81),x = 99/5
940,Solve for x: x*x = (100),x = -10 or x = 10
941,(17) / (12),The result of (17) / (12) is 1.4166666666666667.
942,Solve for x: x*x = (16),x = -4 or x = 4
943,Solve for x: (9)*x = (-15),x = -5/3
944,Solve for x: x + (8) = (15),x = 7
945,Solve for x: (2)*x + (2) = (27),x = 25/2
946,Solve for x: x*x = (100),x = -10 or x = 10
947,Solve for x: x*x = (4),x = -2 or x = 2
948,(9) + (-24) + (23) + (7) + (-8),The result of (9) + (-24) + (23) + (7) + (-8) is 7.
949,(19) + (5) + (5) + (24),The result of (19) + (5) + (5) + (24) is 53.
950,Solve for x: (6)*x + (-19) = (0),x = 19/6
951,(12) + (9) + (30) + (-16) + (27),The result of (12) + (9) + (30) + (-16) + (27) is 62.
952,Solve for x: (17)*x = (-28),x = -28/17
953,Solve for x: x*x = (16),x = -4 or x = 4
954,(12) + (-27) + (-13) + (9) + (16),The result of (12) + (-27) + (-13) + (9) + (16) is -3.
955,(27) / (17),The result of (27) / (17) is 1.588235294117647.
956,(-13) + (-14) + (-8) + (10),The result of (-13) + (-14) + (-8) + (10) is -25.
957,Solve for x: x + (18) = (19),x = 1
958,(-14) + (5) + (12) + (26),The result of (-14) + (5) + (12) + (26) is 29.
959,(27) + (-13),The result of (27) + (-13) is 14.
960,Solve for x: x + (17) = (-15),x = -32
961,Solve for x: x*x = (100),x = -10 or x = 10
962,(21) - (-22),The result of (21) - (-22) is 43.
963,(-19) + (-15) + (-30),The result of (-19) + (-15) + (-30) is -64.
964,Solve for x: x*x = (36),x = -6 or x = 6
965,Solve for x: (17)*x = (-77),x = -77/17
966,Solve for x: x*x = (9),x = -3 or x = 3
967,(50) + (15),The result of (50) + (15) is 65.
968,(-8) + (22) + (-7),The result of (-8) + (22) + (-7) is 7.
969,Solve for x: x*x = (81),x = -9 or x = 9
970,Solve for x: x*x = (81),x = -9 or x = 9
971,Solve for x: (3)*x + (-11) = (59),x = 70/3
972,Solve for x: x*x = (9),x = -3 or x = 3
973,(-10) + (6) + (-19) + (-11),The result of (-10) + (6) + (-19) + (-11) is -34.
974,(-24) + (-25) + (-5) + (18) + (18),The result of (-24) + (-25) + (-5) + (18) + (18) is -18.
975,Solve for x: x*x = (1),x = -1 or x = 1
976,(17) / (41),The result of (17) / (41) is 0.4146341463414634.
977,Solve for x: x*x = (1),x = -1 or x = 1
978,(8) / (10),The result of (8) / (10) is 0.8.
979,(49) / (38),The result of (49) / (38) is 1.2894736842105263.
980,Solve for x: (2)*x + (-2) = (51),x = 53/2
981,Solve for x: x*x = (4),x = -2 or x = 2
982,Solve for x: x*x = (4),x = -2 or x = 2
983,Solve for x: x + (10) = (4),x = -6
984,Solve for x: x*x = (81),x = -9 or x = 9
985,(-12) + (7) + (-1) + (29) + (-16),The result of (-12) + (7) + (-1) + (29) + (-16) is 7.
986,Solve for x: (15)*x = (-82),x = -82/15
987,(25) + (13) + (-2) + (25) + (6),The result of (25) + (13) + (-2) + (25) + (6) is 67.
988,Solve for x: (9)*x + (14) = (85),x = 71/9
989,Solve for x: x + (-11) = (15),x = 26
990,Solve for x: (6)*x + (16) = (58),x = 7
991,(-9) + (1) + (-22) + (-25),The result of (-9) + (1) + (-22) + (-25) is -55.
992,Solve for x: x + (19) = (-15),x = -34
993,Solve for x: x*x = (81),x = -9 or x = 9
994,Solve for x: (2)*x + (9) = (94),x = 85/2
995,Solve for x: x*x = (49),x = -7 or x = 7
996,(-25) + (-10) + (4) + (-10),The result of (-25) + (-10) + (4) + (-10) is -41.
997,(-23) + (-23) + (25) + (10),The result of (-23) + (-23) + (25) + (10) is -11.
998,Solve for x: x*x = (64),x = -8 or x = 8
999,Solve for x: (10)*x + (16) = (10),x = -3/5
1000,(-16) + (3) + (-17) + (13),The result of (-16) + (3) + (-17) + (13) is -17.
1001,(27) + (18) + (5) + (15),The result of (27) + (18) + (5) + (15) is 65.
1002,(6) + (24) + (-17) + (-5) + (-20),The result of (6) + (24) + (-17) + (-5) + (-20) is -12.
1003,Solve for x: (2)*x + (-8) = (95),x = 103/2
1004,(23) + (-6) + (-3) + (17),The result of (23) + (-6) + (-3) + (17) is 31.
1005,Solve for x: (10)*x = (9),x = 9/10
1006,Solve for x: (14)*x = (26),x = 13/7
1007,(-20) + (-6) + (-30),The result of (-20) + (-6) + (-30) is -56.
1008,Solve for x: x*x = (1),x = -1 or x = 1
1009,Solve for x: (9)*x + (-12) = (86),x = 98/9
1010,Solve for x: (19)*x = (-68),x = -68/19
1011,Solve for x: (1)*x + (-2) = (92),x = 94
1012,Solve for x: (4)*x + (13) = (24),x = 11/4
1013,(6) + (-1) + (5) + (-30),The result of (6) + (-1) + (5) + (-30) is -20.
1014,Solve for x: x*x = (49),x = -7 or x = 7
1015,(6) - (16),The result of (6) - (16) is -10.
1016,Solve for x: (4)*x + (4) = (2),x = -1/2
1017,Solve for x: x*x = (16),x = -4 or x = 4
1018,Solve for x: x*x = (64),x = -8 or x = 8
1019,(21) + (27),The result of (21) + (27) is 48.
1020,Solve for x: (4)*x + (-10) = (25),x = 35/4
1021,(39) - (-22),The result of (39) - (-22) is 61.
1022,(-24) + (-6) + (-25) + (24),The result of (-24) + (-6) + (-25) + (24) is -31.
1023,(44) - (-1),The result of (44) - (-1) is 45.
1024,(-20) + (19) + (-7) + (-1),The result of (-20) + (19) + (-7) + (-1) is -9.
1025,(7) + (27) + (-25) + (22) + (4),The result of (7) + (27) + (-25) + (22) + (4) is 35.
1026,(36) + (23),The result of (36) + (23) is 59.
1027,Solve for x: x*x = (100),x = -10 or x = 10
1028,Solve for x: (2)*x + (7) = (55),x = 24
1029,Solve for x: (7)*x + (-3) = (95),x = 14
1030,Solve for x: (9)*x + (17) = (-3),x = -20/9
1031,(27) + (2) + (-13) + (7) + (30),The result of (27) + (2) + (-13) + (7) + (30) is 53.
1032,(42) * (-26),The result of (42) * (-26) is -1092.
1033,Solve for x: (14)*x = (-75),x = -75/14
1034,(-22) + (-1) + (3),The result of (-22) + (-1) + (3) is -20.
1035,Solve for x: (18)*x = (90),x = 5
1036,(37) + (-12),The result of (37) + (-12) is 25.
1037,(-25) + (27) + (-18) + (14),The result of (-25) + (27) + (-18) + (14) is -2.
1038,Solve for x: (10)*x + (7) = (-1),x = -4/5
1039,Solve for x: x + (0) = (1),x = 1
1040,Solve for x: x*x = (49),x = -7 or x = 7
1041,Solve for x: (4)*x + (0) = (95),x = 95/4
1042,(-22) + (-18) + (1),The result of (-22) + (-18) + (1) is -39.
1043,(-25) + (3) + (-28) + (15),The result of (-25) + (3) + (-28) + (15) is -35.
1044,Solve for x: x*x = (1),x = -1 or x = 1
1045,(5) + (25) + (-11) + (29),The result of (5) + (25) + (-11) + (29) is 48.
1046,Solve for x: x*x = (100),x = -10 or x = 10
1047,Solve for x: (3)*x + (20) = (99),x = 79/3
1048,(27) + (22) + (-27) + (4) + (-28),The result of (27) + (22) + (-27) + (4) + (-28) is -2.
1049,Solve for x: (16)*x = (-93),x = -93/16
1050,Solve for x: (4)*x = (-15),x = -15/4
1051,Solve for x: x*x = (4),x = -2 or x = 2
1052,(26) + (-3) + (-10),The result of (26) + (-3) + (-10) is 13.
1053,Solve for x: x*x = (9),x = -3 or x = 3
1054,Solve for x: (2)*x + (11) = (62),x = 51/2
1055,Solve for x: x + (13) = (-9),x = -22
1056,(1) - (-33),The result of (1) - (-33) is 34.
1057,(17) + (-3),The result of (17) + (-3) is 14.
1058,Solve for x: x + (-18) = (-3),x = 15
1059,(-2) + (0) + (23) + (-24),The result of (-2) + (0) + (23) + (-24) is -3.
1060,Solve for x: x*x = (81),x = -9 or x = 9
1061,(-17) + (10) + (10) + (16) + (-22),The result of (-17) + (10) + (10) + (16) + (-22) is -3.
1062,(27) + (12) + (-15),The result of (27) + (12) + (-15) is 24.
1063,Solve for x: x*x = (25),x = -5 or x = 5
1064,Solve for x: (3)*x = (-7),x = -7/3
1065,Solve for x: (7)*x + (-19) = (80),x = 99/7
1066,Solve for x: x + (-11) = (-15),x = -4
1067,Solve for x: x*x = (16),x = -4 or x = 4
1068,Solve for x: (10)*x + (1) = (71),x = 7
1069,Solve for x: (16)*x = (-55),x = -55/16
1070,Solve for x: x*x = (64),x = -8 or x = 8
1071,(35) / (36),The result of (35) / (36) is 0.9722222222222222.
1072,(10) + (-17) + (-9) + (18) + (12),The result of (10) + (-17) + (-9) + (18) + (12) is 14.
1073,Solve for x: x*x = (16),x = -4 or x = 4
1074,(19) + (-9) + (24) + (-12) + (-7),The result of (19) + (-9) + (24) + (-12) + (-7) is 15.
1075,(49) / (36),The result of (49) / (36) is 1.3611111111111112.
1076,Solve for x: x*x = (16),x = -4 or x = 4
1077,Solve for x: (4)*x + (20) = (37),x = 17/4
1078,(-20) + (25) + (9),The result of (-20) + (25) + (9) is 14.
1079,(3) + (-12) + (-25) + (-4),The result of (3) + (-12) + (-25) + (-4) is -38.
1080,Solve for x: x*x = (49),x = -7 or x = 7
1081,(17) + (-25) + (29) + (-20) + (26),The result of (17) + (-25) + (29) + (-20) + (26) is 27.
1082,Solve for x: (1)*x + (-1) = (78),x = 79
1083,(29) + (-40),The result of (29) + (-40) is -11.
1084,(38) * (26),The result of (38) * (26) is 988.
1085,Solve for x: (6)*x + (6) = (93),x = 29/2
1086,Solve for x: (1)*x = (38),x = 38
1087,Solve for x: (1)*x + (-12) = (26),x = 38
1088,(39) + (-32),The result of (39) + (-32) is 7.
1089,Solve for x: (10)*x + (-17) = (69),x = 43/5
1090,(12) + (36),The result of (12) + (36) is 48.
1091,Solve for x: x*x = (16),x = -4 or x = 4
1092,(32) - (-19),The result of (32) - (-19) is 51.
1093,(9) * (-6),The result of (9) * (-6) is -54.
1094,Solve for x: x + (3) = (17),x = 14
1095,(50) - (-34),The result of (50) - (-34) is 84.
1096,(-20) + (26) + (11) + (14),The result of (-20) + (26) + (11) + (14) is 31.
1097,Solve for x: x*x = (100),x = -10 or x = 10
1098,(5) + (28) + (4),The result of (5) + (28) + (4) is 37.
1099,Solve for x: (4)*x + (-17) = (14),x = 31/4
1100,Solve for x: (14)*x = (100),x = 50/7
1101,Solve for x: (5)*x + (-5) = (19),x = 24/5
1102,(43) * (-47),The result of (43) * (-47) is -2021.
1103,Solve for x: (3)*x + (-11) = (92),x = 103/3
1104,(10) * (10),The result of (10) * (10) is 100.
1105,Solve for x: x + (7) = (2),x = -5
1106,(43) / (26),The result of (43) / (26) is 1.6538461538461537.
1107,(-18) + (29) + (17),The result of (-18) + (29) + (17) is 28.
1108,Solve for x: x*x = (25),x = -5 or x = 5
1109,(-25) + (-6) + (-4),The result of (-25) + (-6) + (-4) is -35.
1110,(35) + (13),The result of (35) + (13) is 48.
1111,Solve for x: x*x = (4),x = -2 or x = 2
1112,(15) + (-25) + (13) + (-17) + (16),The result of (15) + (-25) + (13) + (-17) + (16) is 2.
1113,Solve for x: (4)*x + (-20) = (49),x = 69/4
1114,Solve for x: (8)*x + (5) = (36),x = 31/8
1115,(-23) + (5) + (30),The result of (-23) + (5) + (30) is 12.
1116,Solve for x: x + (-6) = (17),x = 23
1117,(-28) + (19) + (16),The result of (-28) + (19) + (16) is 7.
1118,Solve for x: (5)*x = (-20),x = -4
1119,Solve for x: x*x = (36),x = -6 or x = 6
1120,(10) + (-15) + (23) + (2) + (6),The result of (10) + (-15) + (23) + (2) + (6) is 26.
1121,Solve for x: (2)*x + (7) = (10),x = 3/2
1122,Solve for x: (3)*x + (19) = (69),x = 50/3
1123,Solve for x: (8)*x + (-1) = (38),x = 39/8
1124,(-21) + (10) + (-10) + (-12) + (4),The result of (-21) + (10) + (-10) + (-12) + (4) is -29.
1125,Solve for x: (1)*x + (14) = (75),x = 61
1126,(-2) + (-26) + (-14),The result of (-2) + (-26) + (-14) is -42.
1127,Solve for x: (9)*x = (-91),x = -91/9
1128,Solve for x: x*x = (4),x = -2 or x = 2
1129,Solve for x: (12)*x = (-19),x = -19/12
1130,(43) * (31),The result of (43) * (31) is 1333.
1131,(-26) + (-20) + (-11) + (12),The result of (-26) + (-20) + (-11) + (12) is -45.
1132,(25) + (-15) + (16) + (29),The result of (25) + (-15) + (16) + (29) is 55.
1133,(12) + (40),The result of (12) + (40) is 52.
1134,(24) + (5) + (-11) + (22) + (17),The result of (24) + (5) + (-11) + (22) + (17) is 57.
1135,(-14) + (3) + (-21) + (-19) + (28),The result of (-14) + (3) + (-21) + (-19) + (28) is -23.
1136,Solve for x: x*x = (9),x = -3 or x = 3
1137,Solve for x: x*x = (64),x = -8 or x = 8
1138,Solve for x: x + (1) = (-1),x = -2
1139,(48) - (-38),The result of (48) - (-38) is 86.
1140,(2) * (-21),The result of (2) * (-21) is -42.
1141,Solve for x: x*x = (64),x = -8 or x = 8
1142,(37) * (-47),The result of (37) * (-47) is -1739.
1143,Solve for x: x*x = (1),x = -1 or x = 1
1144,(25) * (-9),The result of (25) * (-9) is -225.
1145,Solve for x: (9)*x + (-5) = (59),x = 64/9
1146,(-12) + (-18) + (27) + (-30) + (23),The result of (-12) + (-18) + (27) + (-30) + (23) is -10.
1147,Solve for x: (3)*x + (4) = (-14),x = -6
1148,Solve for x: (6)*x + (-16) = (19),x = 35/6
1149,Solve for x: x*x = (81),x = -9 or x = 9
1150,Solve for x: x + (15) = (-2),x = -17
1151,Solve for x: x*x = (16),x = -4 or x = 4
1152,Solve for x: (18)*x = (3),x = 1/6
1153,Solve for x: (4)*x + (3) = (-14),x = -17/4
1154,Solve for x: (19)*x = (-85),x = -85/19
1155,(9) + (-11) + (15) + (3),The result of (9) + (-11) + (15) + (3) is 16.
1156,Solve for x: x + (-10) = (-4),x = 6
1157,Solve for x: (13)*x = (-55),x = -55/13
1158,(-24) + (-14) + (14) + (4),The result of (-24) + (-14) + (14) + (4) is -20.
1159,(28) + (-9) + (13) + (6),The result of (28) + (-9) + (13) + (6) is 38.
1160,(5) + (-9) + (-17) + (27),The result of (5) + (-9) + (-17) + (27) is 6.
1161,Solve for x: (3)*x + (-7) = (1),x = 8/3
1162,(9) + (-23) + (-13) + (-3),The result of (9) + (-23) + (-13) + (-3) is -30.
1163,(30) + (15) + (-17) + (-4) + (10),The result of (30) + (15) + (-17) + (-4) + (10) is 34.
1164,(36) - (9),The result of (36) - (9) is 27.
1165,Solve for x: x + (-10) = (-13),x = -3
1166,(-5) + (20) + (-8) + (-12) + (-17),The result of (-5) + (20) + (-8) + (-12) + (-17) is -22.
1167,(30) + (-26) + (5),The result of (30) + (-26) + (5) is 9.
1168,Solve for x: x*x = (64),x = -8 or x = 8
1169,(-19) + (20) + (-7) + (-27) + (-19),The result of (-19) + (20) + (-7) + (-27) + (-19) is -52.
1170,(44) + (0),The result of (44) + (0) is 44.
1171,Solve for x: x + (-16) = (20),x = 36
1172,Solve for x: (8)*x + (-15) = (35),x = 25/4
1173,Solve for x: x*x = (64),x = -8 or x = 8
1174,Solve for x: x + (-11) = (20),x = 31
1175,Solve for x: x + (-12) = (-16),x = -4
1176,Solve for x: (3)*x + (19) = (50),x = 31/3
1177,(26) * (35),The result of (26) * (35) is 910.
1178,(26) + (25),The result of (26) + (25) is 51.
1179,Solve for x: x*x = (49),x = -7 or x = 7
1180,Solve for x: x*x = (36),x = -6 or x = 6
1181,Solve for x: (3)*x + (18) = (-1),x = -19/3
1182,Solve for x: (15)*x = (32),x = 32/15
1183,Solve for x: (5)*x + (11) = (6),x = -1
1184,(-10) + (11) + (28) + (10),The result of (-10) + (11) + (28) + (10) is 39.
1185,Solve for x: (18)*x = (8),x = 4/9
1186,(-9) + (-13) + (9) + (-9) + (-5),The result of (-9) + (-13) + (9) + (-9) + (-5) is -27.
1187,Solve for x: x*x = (16),x = -4 or x = 4
1188,Solve for x: (1)*x + (-11) = (55),x = 66
1189,Solve for x: x*x = (4),x = -2 or x = 2
1190,Solve for x: (20)*x = (72),x = 18/5
1191,Solve for x: x*x = (49),x = -7 or x = 7
1192,Solve for x: (3)*x + (16) = (-2),x = -6
1193,(6) / (4),The result of (6) / (4) is 1.5.
1194,Solve for x: x*x = (36),x = -6 or x = 6
1195,Solve for x: (17)*x = (33),x = 33/17
1196,Solve for x: x*x = (64),x = -8 or x = 8
1197,(47) * (43),The result of (47) * (43) is 2021.
1198,(-27) + (-6) + (28) + (20),The result of (-27) + (-6) + (28) + (20) is 15.
1199,Solve for x: (5)*x + (-18) = (94),x = 112/5
1200,(41) - (6),The result of (41) - (6) is 35.
1201,Solve for x: x*x = (9),x = -3 or x = 3
1202,Solve for x: x*x = (4),x = -2 or x = 2
1203,Solve for x: (3)*x + (5) = (45),x = 40/3
1204,Solve for x: x*x = (16),x = -4 or x = 4
1205,Solve for x: (10)*x + (-7) = (42),x = 49/10
1206,(47) * (36),The result of (47) * (36) is 1692.
1207,(35) / (40),The result of (35) / (40) is 0.875.
1208,Solve for x: (11)*x = (-12),x = -12/11
1209,Solve for x: x*x = (100),x = -10 or x = 10
1210,Solve for x: (10)*x + (-4) = (21),x = 5/2
1211,(10) / (36),The result of (10) / (36) is 0.2777777777777778.
1212,Solve for x: x*x = (25),x = -5 or x = 5
1213,Solve for x: x + (1) = (17),x = 16
1214,Solve for x: (7)*x + (19) = (-12),x = -31/7
1215,Solve for x: (18)*x = (73),x = 73/18
1216,(47) - (23),The result of (47) - (23) is 24.
1217,Solve for x: x + (-13) = (-3),x = 10
1218,(45) + (-47),The result of (45) + (-47) is -2.
1219,(43) - (-28),The result of (43) - (-28) is 71.
1220,Solve for x: x*x = (1),x = -1 or x = 1
1221,Solve for x: x*x = (100),x = -10 or x = 10
1222,(0) + (6) + (3) + (17),The result of (0) + (6) + (3) + (17) is 26.
1223,Solve for x: (1)*x + (-9) = (-15),x = -6
1224,Solve for x: x*x = (64),x = -8 or x = 8
1225,(29) + (-16) + (30) + (21) + (29),The result of (29) + (-16) + (30) + (21) + (29) is 93.
1226,(1) / (46),The result of (1) / (46) is 0.021739130434782608.
1227,(-15) + (-26) + (15) + (-13) + (-22),The result of (-15) + (-26) + (15) + (-13) + (-22) is -61.
1228,Solve for x: (4)*x + (3) = (59),x = 14
1229,Solve for x: x + (-14) = (0),x = 14
1230,(26) + (23),The result of (26) + (23) is 49.
1231,(37) / (21),The result of (37) / (21) is 1.7619047619047619.
1232,Solve for x: (8)*x + (6) = (87),x = 81/8
1233,(21) + (27) + (20),The result of (21) + (27) + (20) is 68.
1234,Solve for x: x + (-8) = (2),x = 10
1235,Solve for x: (6)*x + (-20) = (93),x = 113/6
1236,Solve for x: x*x = (9),x = -3 or x = 3
1237,(-29) + (-7) + (17),The result of (-29) + (-7) + (17) is -19.
1238,(46) - (43),The result of (46) - (43) is 3.
1239,Solve for x: x*x = (9),x = -3 or x = 3
1240,(6) + (0) + (-22) + (-6),The result of (6) + (0) + (-22) + (-6) is -22.
1241,(2) + (-10) + (-5) + (5),The result of (2) + (-10) + (-5) + (5) is -8.
1242,Solve for x: x*x = (9),x = -3 or x = 3
1243,(22) * (-48),The result of (22) * (-48) is -1056.
1244,Solve for x: (11)*x = (-67),x = -67/11
1245,(9) + (-6) + (-21) + (26) + (-24),The result of (9) + (-6) + (-21) + (26) + (-24) is -16.
1246,(49) - (29),The result of (49) - (29) is 20.
1247,Solve for x: (9)*x = (-90),x = -10
1248,(3) - (-6),The result of (3) - (-6) is 9.
1249,Solve for x: (15)*x = (-47),x = -47/15
1250,Solve for x: x + (12) = (-20),x = -32
1251,(48) * (14),The result of (48) * (14) is 672.
1252,Solve for x: x*x = (25),x = -5 or x = 5
1253,Solve for x: (8)*x + (2) = (12),x = 5/4
1254,Solve for x: x + (8) = (11),x = 3
1255,Solve for x: (6)*x + (6) = (-16),x = -11/3
1256,Solve for x: x + (20) = (-17),x = -37
1257,(15) + (23) + (5),The result of (15) + (23) + (5) is 43.
1258,Solve for x: (1)*x = (-73),x = -73
1259,(-23) + (-3) + (14),The result of (-23) + (-3) + (14) is -12.
1260,(26) * (-2),The result of (26) * (-2) is -52.
1261,Solve for x: (5)*x + (9) = (80),x = 71/5
1262,Solve for x: (10)*x + (17) = (57),x = 4
1263,Solve for x: (1)*x = (25),x = 25
1264,(36) - (40),The result of (36) - (40) is -4.
1265,Solve for x: (10)*x + (6) = (33),x = 27/10
1266,Solve for x: (12)*x = (-91),x = -91/12
1267,Solve for x: x*x = (100),x = -10 or x = 10
1268,Solve for x: (5)*x + (4) = (33),x = 29/5
1269,(3) * (9),The result of (3) * (9) is 27.
1270,Solve for x: (3)*x + (11) = (34),x = 23/3
1271,Solve for x: (15)*x = (-25),x = -5/3
1272,(-26) + (-29) + (14),The result of (-26) + (-29) + (14) is -41.
1273,Solve for x: (3)*x + (-10) = (96),x = 106/3
1274,(36) - (-45),The result of (36) - (-45) is 81.
1275,(3) + (34),The result of (3) + (34) is 37.
1276,Solve for x: (10)*x + (20) = (29),x = 9/10
1277,(43) + (-44),The result of (43) + (-44) is -1.
1278,Solve for x: (15)*x = (82),x = 82/15
1279,Solve for x: x*x = (100),x = -10 or x = 10
1280,(8) - (-5),The result of (8) - (-5) is 13.
1281,(16) / (36),The result of (16) / (36) is 0.4444444444444444.
1282,Solve for x: x*x = (1),x = -1 or x = 1
1283,Solve for x: (1)*x + (-4) = (-8),x = -4
1284,Solve for x: x*x = (36),x = -6 or x = 6
1285,Solve for x: (3)*x + (-6) = (84),x = 30
1286,Solve for x: x + (19) = (-3),x = -22
1287,(9) * (38),The result of (9) * (38) is 342.
1288,Solve for x: x*x = (1),x = -1 or x = 1
1289,(44) / (24),The result of (44) / (24) is 1.8333333333333333.
1290,(23) + (-21) + (27),The result of (23) + (-21) + (27) is 29.
1291,(26) + (-13) + (29) + (-13) + (-13),The result of (26) + (-13) + (29) + (-13) + (-13) is 16.
1292,(13) + (6) + (5) + (-19),The result of (13) + (6) + (5) + (-19) is 5.
1293,(36) / (26),The result of (36) / (26) is 1.3846153846153846.
1294,(40) - (27),The result of (40) - (27) is 13.
1295,Solve for x: x + (19) = (17),x = -2
1296,(43) - (43),The result of (43) - (43) is 0.
1297,(24) + (-27) + (-11) + (-16) + (-1),The result of (24) + (-27) + (-11) + (-16) + (-1) is -31.
1298,(-30) + (-26) + (-10) + (-8),The result of (-30) + (-26) + (-10) + (-8) is -74.
1299,Solve for x: (2)*x + (15) = (56),x = 41/2
1300,(36) + (2),The result of (36) + (2) is 38.
1301,(30) - (-2),The result of (30) - (-2) is 32.
1302,Solve for x: (8)*x + (-4) = (91),x = 95/8
1303,Solve for x: x + (1) = (-2),x = -3
1304,(23) + (3),The result of (23) + (3) is 26.
1305,Solve for x: (7)*x + (-10) = (18),x = 4
1306,Solve for x: (7)*x + (13) = (71),x = 58/7
1307,Solve for x: x + (17) = (-17),x = -34
1308,(29) / (41),The result of (29) / (41) is 0.7073170731707317.
1309,(-30) + (29) + (-30),The result of (-30) + (29) + (-30) is -31.
1310,Solve for x: (10)*x + (9) = (71),x = 31/5
1311,(27) - (31),The result of (27) - (31) is -4.
1312,(-21) + (-25) + (6),The result of (-21) + (-25) + (6) is -40.
1313,(19) + (-3) + (-20) + (27),The result of (19) + (-3) + (-20) + (27) is 23.
1314,Solve for x: (6)*x + (-19) = (52),x = 71/6
1315,Solve for x: (2)*x + (-2) = (15),x = 17/2
1316,Solve for x: x*x = (16),x = -4 or x = 4
1317,Solve for x: x + (2) = (-11),x = -13
1318,(12) + (-23) + (-12),The result of (12) + (-23) + (-12) is -23.
1319,Solve for x: x*x = (4),x = -2 or x = 2
1320,Solve for x: (9)*x + (-6) = (68),x = 74/9
1321,Solve for x: x*x = (16),x = -4 or x = 4
1322,Solve for x: (9)*x = (23),x = 23/9
1323,(44) * (-30),The result of (44) * (-30) is -1320.
1324,Solve for x: (2)*x = (80),x = 40
1325,(23) - (-30),The result of (23) - (-30) is 53.
1326,Solve for x: x*x = (16),x = -4 or x = 4
1327,Solve for x: (10)*x + (-10) = (4),x = 7/5
1328,Solve for x: x*x = (9),x = -3 or x = 3
1329,(9) + (-44),The result of (9) + (-44) is -35.
1330,Solve for x: (9)*x + (7) = (56),x = 49/9
1331,Solve for x: x*x = (4),x = -2 or x = 2
1332,Solve for x: x*x = (16),x = -4 or x = 4
1333,(-28) + (6) + (12) + (-12),The result of (-28) + (6) + (12) + (-12) is -22.
1334,Solve for x: (3)*x + (-1) = (14),x = 5
1335,(19) / (30),The result of (19) / (30) is 0.6333333333333333.
1336,Solve for x: (9)*x + (8) = (26),x = 2
1337,(-10) + (13) + (7) + (25) + (11),The result of (-10) + (13) + (7) + (25) + (11) is 46.
1338,Solve for x: (7)*x = (5),x = 5/7
1339,Solve for x: x*x = (1),x = -1 or x = 1
1340,Solve for x: (13)*x = (-36),x = -36/13
1341,(28) + (-26) + (-4),The result of (28) + (-26) + (-4) is -2.
1342,(-16) + (16) + (24),The result of (-16) + (16) + (24) is 24.
1343,Solve for x: (6)*x + (-3) = (20),x = 23/6
1344,Solve for x: x + (1) = (9),x = 8
1345,(27) / (4),The result of (27) / (4) is 6.75.
1346,Solve for x: x*x = (9),x = -3 or x = 3
1347,Solve for x: x*x = (16),x = -4 or x = 4
1348,Solve for x: x*x = (25),x = -5 or x = 5
1349,(21) + (47),The result of (21) + (47) is 68.
1350,Solve for x: (9)*x + (-15) = (-13),x = 2/9
1351,Solve for x: x + (13) = (10),x = -3
1352,(-9) + (13) + (-20) + (12) + (-12),The result of (-9) + (13) + (-20) + (12) + (-12) is -16.
1353,Solve for x: (17)*x = (47),x = 47/17
1354,Solve for x: x*x = (81),x = -9 or x = 9
1355,Solve for x: x*x = (4),x = -2 or x = 2
1356,Solve for x: (11)*x = (-36),x = -36/11
1357,Solve for x: x + (5) = (19),x = 14
1358,(43) / (16),The result of (43) / (16) is 2.6875.
1359,Solve for x: (11)*x = (-85),x = -85/11
1360,(35) + (-25),The result of (35) + (-25) is 10.
1361,Solve for x: x + (-14) = (-15),x = -1
1362,Solve for x: (8)*x = (-12),x = -3/2
1363,Solve for x: x*x = (81),x = -9 or x = 9
1364,(27) + (25) + (-29) + (30) + (2),The result of (27) + (25) + (-29) + (30) + (2) is 55.
1365,Solve for x: x*x = (25),x = -5 or x = 5
1366,Solve for x: x*x = (1),x = -1 or x = 1
1367,(29) + (-39),The result of (29) + (-39) is -10.
1368,Solve for x: x*x = (49),x = -7 or x = 7
1369,(29) / (15),The result of (29) / (15) is 1.9333333333333333.
1370,(4) / (28),The result of (4) / (28) is 0.14285714285714285.
1371,Solve for x: x*x = (36),x = -6 or x = 6
1372,Solve for x: (9)*x + (15) = (88),x = 73/9
1373,Solve for x: x + (2) = (-12),x = -14
1374,(18) - (-4),The result of (18) - (-4) is 22.
1375,(-22) + (-13) + (3) + (-13) + (1),The result of (-22) + (-13) + (3) + (-13) + (1) is -44.
1376,(16) + (-27) + (13),The result of (16) + (-27) + (13) is 2.
1377,(-15) + (-1) + (5) + (20) + (-18),The result of (-15) + (-1) + (5) + (20) + (-18) is -9.
1378,(43) * (-35),The result of (43) * (-35) is -1505.
1379,(0) + (-15) + (19) + (22) + (-25),The result of (0) + (-15) + (19) + (22) + (-25) is 1.
1380,(31) + (-15),The result of (31) + (-15) is 16.
1381,(3) + (-17),The result of (3) + (-17) is -14.
1382,Solve for x: (5)*x + (6) = (65),x = 59/5
1383,Solve for x: (9)*x + (11) = (3),x = -8/9
1384,Solve for x: (14)*x = (74),x = 37/7
1385,Solve for x: x + (-5) = (-13),x = -8
1386,Solve for x: x + (11) = (18),x = 7
1387,Solve for x: (6)*x + (5) = (73),x = 34/3
1388,Solve for x: (12)*x = (33),x = 11/4
1389,Solve for x: x*x = (64),x = -8 or x = 8
1390,Solve for x: x*x = (1),x = -1 or x = 1
